Warburtons Lighter Medium Sliced Danish White Bread 400g,1.25,bakery,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], 
Water, 
Yeast, 
Salt, 
Dextrose, 
Emulsifiers: E472e, E471, 
Soya Flour, 
Preservative: Calcium Propionate, 
Flour Treatment Agents: Ascorbic Acid (Vitamin C), E920 (Vegetarian)",2682273.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-danish-white-bread--sliced-400g
"New York Bakery Co. Bagels, Sesame x5",1.30,bakery,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), 
Water, 
Sesame Seeds (3%), 
Sugar, 
Yeast, 
Maize, 
Salt, 
Rapeseed Oil, 
Spirit Vinegar, 
Sweet Potato Puree, 
Preservative (Calcium Propionate), 
Malted Barley Flour, 
Flour Treatment Agent (Ascorbic Acid)",7432275.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-breakfast-bakery/new-york-bakery-co-sesame-bagels-x5
Soreen Malt Lunchbox Loaves 5x30g,1.80,bakery,"Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin (B3), Thiamin (B1)), 
Water, 
Raisins  (14%), 
Partially Inverted Sugar Syrup (Partially Inverted Sugar Syrup, Colour: E150c), 
Malted Barley Flour (5%), 
Barley Malt Extract (4.5%), 
Maize Starch, 
Rice Starch, 
Vegetable Fat (Rapeseed, Palm), 
Salt, 
Yeast, 
Preservative: Calcium Propionate",7537410.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-breakfast-bakery/soreen-malt-lunchbox-loaves-x5
Kingsmill Thick Sliced 50/50 Bread 800g,1.40,bakery,"Wheat Flour (33%) (with Calcium, Iron, Niacin (B3) and Thiamin (B1)), 
Wholemeal Wheat Flour (33%), 
Water, 
Yeast, 
Salt, 
Vegetable Oils (Rapeseed, Sustainable Palm), 
Sustainable Soya Flour, 
Emulsifier: E472e, 
Vinegar, 
Preservative: Calcium Propionate, 
Flour Treatment Agent: Ascorbic Acid (Vitamin C)",6528198.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/kingsmill-50-50-bread--thick-800g
Warburtons Sandwich Thins x6,1.40,bakery,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], 
Water, 
Vegetable Oils (Sunflower, Rapeseed and Sustainable Palm in varying proportions), 
Yeast, 
Dextrose, 
Salt, 
Wheat Gluten, 
Sugar, 
Stabiliser: Xanthan Gum, 
Emulsifiers: E471, E481, 
Gelling Agent: E466, 
Soya Flour, 
Preservative: Calcium Propionate, 
Flavouring, 
Flour Treatment Agents: Ascorbic Acid (Vitamin C), E920 (Vegetarian)",7458366.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-sandwich-thins-x6
McVitie's The Original Jaffa Cakes Twin Pack x20 238g,1.50,bakery,"Glucose-Fructose Syrup, 
Dark Chocolate (19%) [Sugar, Cocoa Mass, Vegetable Fats (Palm, Shea), Butter Oil (Milk), Cocoa Butter, Emulsifiers (Soya Lecithin, E476), Natural Flavouring], 
Sugar, 
Flour (Wheat Flour, Calcium, Iron, Niacin, Thiamin), 
Whole Egg, 
Water, 
Dextrose, 
Concentrated Orange Juice, 
Glucose Syrup, 
Vegetable Oils (Sunflower, Palm), 
Humectant (Glycerine), 
Gelling Agent (Pectin), 
Acid (Citric Acid), 
Raising Agents (Ammonium Bicarbonate, Disodium Diphosphate, Sodium Bicarbonate), 
Dried Whole Egg, 
Acidity Regulator (Sodium Citrates), 
Natural Orange Flavouring, 
Colour (Curcumin), 
Emulsifier (Soya Lecithin), 
Product contains the equivalent of 8% Orange Juice",7878013.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-biscuits/mcvities-jaffa-cakes-twin-pack-244g
Mission Deli Mini Wraps x6 186g,1.00,bakery,"Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron Niacin (B3), Thiamin (B1)), 
Water, 
Wholemeal Wheat Flour, 
Rapeseed Oil, 
Humectant (Glycerol), 
Acidity Regulator (Malic Acid), 
Sugar, 
Emulsifiers (Mono- and Diglycerides of Fatty Acids), 
Raising Agent (Sodium Carbonates), 
Salt, 
Preservatives (Potassium Sorbate, Calcium Propionate), 
Flavouring",7560228.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-wraps---thins---pittas/mission-6-deli-mini-wrap-186g
Hovis Granary Thick Sliced Bread 800g,2.10,bakery,"Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), 
Water, 
Original Granary Blend (Granary Malted Wheat Flakes (11%), Malted Barley Flour, Toasted Wheat, Toasted Rye), 
Wheat Protein, 
Yeast, 
Salt, 
Vinegar, 
Soya Flour, 
Granulated Sugar, 
Barley Flour, 
Caramelised Sugar, 
Emulsifier: E472e, 
Barley Fibre, 
Flour Treatment Agent: Ascorbic Acid",3324684.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-original-granary-bread--thick-sliced-800g
Hovis Seed Sensations Seven Seeds Medium Sliced Seeded Bread 400g,1.30,bakery,"Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), 
Water, 
Seed Mix (13%) (contains: Toasted Brown Linseed, Toasted Sunflower Seeds, Millet, Pumpkin Seeds, Sunflower Seeds, Golden Linseed, Poppy Seeds), 
Wheat Protein, 
Yeast, 
Salt, 
Soya Flour, 
Malted Barley Flour, 
Granulated Sugar, 
Barley Flour, 
Preservative: E282, 
Emulsifier: E472e, 
Caramelised Sugar, 
Barley Fibre, 
Flour Treatment Agent: Ascorbic Acid",7585546.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-seed-sensations-7-seeds-bread-400g
Tunnock's Milk Chocolate Teacakes Biscuits x10,1.90,bakery,"Mallow (38%) (Sugar, Glucose Syrup, Egg White), 
Milk Chocolate (34%) (Sugar, Cocoa Butter, Cocoa Mass, Standardised Whole Milk, Skimmed Milk Powder, Palm Oil, Shea Butter, Emulsifier [Soya Lecithin], Flavouring), 
Biscuit (28%) (Fortified Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Vegetable Oil [Palm, Rapeseed], Sugar, Raising Agents [Sodium Bicarbonate, Disodium Diphosphate])",2453606.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-biscuits/tunnocks-milk-chocolate-teacakes-biscuits-x10
Waffle Amour Belgian Style Toasting Waffles x8,1.85,bakery,"Eggs, 
Sugar, 
Wheat Flour, 
Palm Fat, 
Rapeseed Oil, 
Humectants: Sorbitol, Glycerol, 
Sweet Lupin Flour, 
Salt, 
Acidity Regulator: Sodium Acetates, 
Emulsifiers: Mono- and Diglycerides of Fatty Acids, 
Lecithins, 
Raising Agent: Ammonium Carbonates, 
Natural Flavouring",7936374.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-breakfast-bakery/waffle-amour-belgian-style-toasting-waffles-x8
Sheldons White Oven Bottom Muffins x6,1.50,bakery,"Wheat Flour (with Calcium Carbonate, Iron, Thiamin (B1), Niacin (B3)), 
Water, 
Yeast, 
Sugar, 
Salt, 
Vinegar, 
Rapeseed Oil, 
Soya Flour, 
Palm Oil, 
Emulsifier (Sodium Stearoyl-2-Lactylate), 
Preservative (Calcium Propionate), 
Flour Treatment Agent: Ascorbic Acid (Vitamin C)",7342812.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-rolls---bagels/sheldons-white-oven-bottom-muffins-x6
Hovis Granary Thick Sliced Bread 400g,1.25,bakery,"Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), 
Water, 
Original Granary Blend (Granary Malted Wheat Flakes (11%), Malted Barley Flour), 
Yeast, 
Wheat Protein, 
Salt, 
Vinegar, 
Soya Flour, 
Granulated Sugar, 
Barley Flour, 
Emulsifier: E472e, 
Caramelised Sugar, 
Barley Fibre, 
Flour Treatment Agent: Ascorbic Acid",2753355.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-original-granary-bread--half-loaf-400g
Hovis Nimble Medium Sliced Wholemeal Bread 400g,5p,bakery,"Wholemeal Flour (Wheat), 
Water, 
Yeast, 
Wheat Protein, 
Soya Flour, 
Salt, 
Vinegar, 
Malted Wheat, 
Toasted Wheat, 
Emulsifier: E472e, 
Malted Barley Flour, 
Caramelised Sugar, 
Preservative: E282, 
Flour Treatment Agent: Ascorbic Acid, 
This product contains 61% Wholegrains from Wholemeal Flour",2283906.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-nimble-wholemeal-bread-400g
Hovis Granary Thick Sliced Wholemeal Bread 800g,2.10,bakery,"Wholemeal Flour (Wheat), 
Water, 
Original Granary Blend (Granary Malted Wheat Flakes (9%), Toasted Wheat, Toasted Rye), 
Wheat Protein, 
Granulated Sugar, 
Yeast, 
Soya Flour, 
Salt, 
Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), 
Barley Flour, 
Caramelised Sugar, 
Emulsifiers: E471, E472e, E481, 
Vegetable Oil (Palm, Rapeseed), 
Preservative: E282, 
Barley Fibre, 
Flour Treatment Agent: Ascorbic Acid",2412979.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-wholemeal-seeded-granary-bread-800g
